repo_id,id_contribuidor,data
367,2352166,15-10-2016
367,2456011,05-11-2013
367,2457593,03-09-2014
367,2479785,16-11-2013
367,2479787,04-11-2013
367,2513186,20-08-2015
367,2541863,10-09-2013
367,2558665,22-09-2014
367,2567716,17-09-2013
367,2609938,04-10-2013
367,2636126,10-04-2014
367,2644607,07-10-2013
367,2658696,12-03-2018
367,2723813,30-04-2016
367,2792904,11-08-2015
367,2801839,27-01-2014
367,2834992,17-11-2013
367,2873654,16-11-2013
367,2896725,11-11-2013
367,2901477,11-11-2013
367,2917481,10-02-2014
367,2956115,19-11-2013
367,3010967,11-01-2014
367,3016606,22-04-2017
367,3046009,22-01-2017
367,3101724,29-04-2014
367,3107528,29-10-2017
367,3175915,13-01-2014
367,3176327,07-01-2018
367,3226866,15-01-2014
367,3241484,01-08-2017
367,3333109,12-02-2014
367,3357595,13-02-2014
367,3533626,09-11-2016
367,3540421,06-05-2019
367,3548174,10-05-2015
367,3631399,07-01-2018
367,3651135,23-01-2017
367,3660341,18-05-2019
367,3695692,12-04-2015
367,3714256,14-08-2018
367,3783066,15-11-2015
367,3793442,19-12-2014
367,3834943,31-03-2018
367,3905109,02-02-2015
367,3962456,17-05-2014
367,4003870,23-05-2014
367,4022573,08-09-2017
367,4024711,15-03-2018
367,4025752,04-08-2016
367,4121755,21-01-2017
367,4122353,20-03-2018
367,4234942,08-06-2014
367,4299592,13-09-2014
367,4374225,16-09-2017
367,4400345,11-06-2015
367,4400346,08-01-2016
367,4417558,11-04-2015
367,4445971,16-01-2019
367,4448629,24-09-2015
367,4511079,16-09-2014
367,4597808,26-08-2015
367,4672624,13-05-2019
367,4737819,03-09-2014
367,4756410,15-04-2018
367,4764362,04-10-2017
367,4856549,18-10-2015
367,5012680,06-01-2017
367,5300587,29-11-2014
367,5497172,22-09-2014
367,5740838,10-12-2015
367,5988425,26-09-2017
367,6111898,25-11-2014
367,6168971,28-08-2016
367,6169150,17-12-2017
367,6176656,02-04-2015
367,6194940,09-01-2019
367,6259852,17-12-2017
367,6544971,22-02-2016
367,6752997,19-02-2019
367,6788838,25-01-2015
367,6804605,31-01-2015
367,6902442,08-01-2016
367,6942239,01-09-2015
367,7119176,21-01-2018
367,7153570,18-09-2017
367,7204927,23-08-2018
367,7236251,03-03-2015
367,7270407,05-03-2015
367,7271784,20-01-2017
367,7327343,25-03-2016
367,7391349,16-03-2015
367,7403443,17-03-2015
367,7623201,17-07-2015
367,7635247,28-01-2016
367,7924284,12-02-2018
367,7978698,23-05-2018
367,8030449,05-05-2015
367,8034517,20-08-2015
367,8312536,24-09-2015
367,8345365,19-11-2015
367,8510222,27-04-2019
367,8758999,20-06-2017
367,9537996,21-09-2015
367,9612540,10-04-2017
367,10005101,23-10-2017
367,10244853,09-12-2017
367,10447779,09-11-2015
367,10682504,01-09-2017
367,10698103,01-02-2018
367,11028449,28-12-2016
367,11260967,28-01-2016
367,11331374,27-01-2016
367,11370259,27-04-2019
367,11451639,15-10-2017
367,12106127,17-03-2016
367,12169732,09-11-2018
367,13094708,26-02-2018
367,13305261,07-01-2017
367,13663867,13-01-2018
367,14033284,31-03-2018
367,18833912,29-06-2016
367,19448424,15-05-2018
367,30393483,16-03-2018
367,30447167,03-08-2018
367,30669028,19-06-2017
367,31012340,13-10-2018
367,31680040,13-03-2017
367,31913774,07-11-2017
367,31971146,02-04-2017
367,32151209,25-07-2017
367,32346717,20-03-2017
367,32415245,04-09-2017
367,32526141,13-08-2017
367,32874736,02-06-2017
367,32976720,09-08-2017
367,33301626,12-04-2017
367,33577988,28-01-2017
367,33635422,23-01-2017
367,34329564,30-06-2017
367,34630855,23-04-2019
367,34725358,23-08-2017
367,35162462,02-02-2018
367,35740722,30-07-2017
367,36287129,15-08-2017
367,36434096,10-06-2017
367,36507695,25-10-2017
367,37238524,04-08-2017
367,37342939,01-08-2017
367,37398904,03-08-2017
367,37439880,06-04-2018
367,37451574,07-08-2018
367,37661214,29-10-2017
367,37835951,29-08-2017
367,37928523,29-08-2018
367,37933376,18-11-2017
367,38292817,19-09-2017
367,38404186,26-09-2017
367,38519011,04-10-2017
367,38551991,27-10-2017
367,38573466,27-01-2019
367,38628410,26-06-2018
367,38647626,26-11-2018
367,38831473,11-06-2018
367,38933667,29-01-2018
367,39422421,13-11-2017
367,39474265,19-01-2018
367,39568031,29-11-2017
367,39580599,21-11-2017
367,39789225,12-10-2018
367,40206693,23-12-2017
367,41082230,14-02-2018
367,41374480,10-03-2019
367,41639317,15-04-2018
367,42096475,04-02-2019
367,42195586,05-04-2018
367,42652164,10-07-2018
367,42841570,17-04-2018
367,44152251,14-06-2018
367,44257997,15-08-2018
367,44535996,08-09-2018
367,44770225,16-07-2018
367,44991291,02-12-2018
367,45946242,17-05-2019
367,46288665,23-09-2018
367,46296359,27-09-2018
367,48126456,10-12-2018
367,48492828,01-01-2019
367,48924900,31-03-2019
367,49452302,17-02-2019
367,51378047,17-05-2019
1226,245,17-04-2015
1226,399,15-04-2013
1226,413,07-09-2012
1226,455,19-06-2013
1226,462,30-11-2012
1226,469,29-03-2013
1226,474,14-04-2014
1226,520,06-10-2014
1226,527,25-10-2013
1226,612,07-06-2012
1226,651,28-04-2012
1226,678,06-09-2013
1226,684,30-05-2013
1226,716,09-11-2015
1226,777,11-07-2014
1226,794,04-11-2012
1226,796,27-05-2017
1226,798,30-08-2013
1226,836,04-08-2012
1226,843,23-01-2019
1226,850,23-12-2014
1226,951,06-07-2012
1226,992,27-02-2016
1226,1015,08-01-2015
1226,1192,06-12-2013
1226,1245,23-11-2014
1226,1286,19-03-2013
1226,1320,31-08-2012
1226,1428,05-04-2014
1226,1442,17-11-2015
1226,1456,12-07-2012
1226,1628,26-05-2014
1226,1751,08-11-2012
1226,1968,09-08-2012
1226,2272,30-04-2012
1226,2435,23-11-2013
1226,2462,31-01-2017
1226,2555,15-08-2012
1226,2609,14-07-2012
1226,2721,16-05-2012
1226,2727,21-11-2016
1226,2887,21-07-2013
1226,2907,28-12-2012
1226,3104,25-08-2012
1226,3121,26-06-2012
1226,3290,11-02-2019
1226,3407,11-02-2012
1226,3414,24-08-2014
1226,3638,02-08-2012
1226,3646,29-04-2012
1226,3820,28-10-2013
1226,3837,08-06-2012
1226,3871,28-04-2012
1226,4095,17-04-2018
1226,4118,12-12-2017
1226,4144,19-06-2014
1226,5077,06-01-2018
1226,5615,29-05-2014
1226,5758,26-05-2014
1226,5800,02-07-2013
1226,5819,11-01-2017
1226,5892,23-01-2015
1226,5903,07-07-2012
